complaint_id,date,complaint_text,category,sentiment,priority,channel,customer_value,resolution_time,is_repeat_customer
21,2024-04-05,This is regarding a problem where Need help regarding this payment issue. Kindly resolve soon.,Payment Problem,Negative,High,App,49202,63,1
22,2024-06-19,There seems to be an issue because Issue not resolved refund pending. Need help urgently.,Refund Issue,Positive,Low,Email,40842,26,1
23,2024-10-10,There seems to be an issue because I am facing an issue password. Need help urgently.,Account Issue,Negative,Medium,Email,16698,97,0
24,2024-10-10,This is regarding a problem where This is very frustrating charged. Kindly resolve soon.,Payment Problem,Negative,High,Email,43057,17,1
25,2024-05-07,"I had an experience where Issue not resolved money back please resolve quickly, and I am not satisfied.",Refund Issue,Negative,High,Website,26439,86,1
26,2024-10-09,I am facing this issue where This is very frustrating. Please look into it.,Payment Problem,Negative,High,App,22476,108,0
27,2024-05-16,This is regarding a problem where This is very frustrating support please resolve quickly. Kindly resolve soon.,Customer Service,Negative,Medium,Email,9974,83,0
28,2024-11-10,This is regarding a problem where Not satisfied with the experience no response. Kindly resolve soon.,Customer Service,Negative,High,App,33062,35,0
29,2024-02-21,There seems to be an issue because I am facing an issue support. Need help urgently.,Customer Service,Negative,Medium,Website,3804,73,0
30,2024-04-22,I am facing this issue where There is a problem money back please resolve quickly. Please look into it.,Refund Issue,Negative,High,Call,44917,112,1
31,2024-12-08,There seems to be an issue because There is a problem. Need help urgently.,Delivery Issue,Negative,High,Website,29173,65,0
32,2024-08-05,I would like to report that Issue not resolved access. Please fix this.,Account Issue,Negative,High,Call,47217,55,0
33,2024-05-02,This is regarding a problem where I am facing an issue support. Kindly resolve soon.,Customer Service,Negative,Medium,Website,5431,67,0
34,2024-07-16,I am facing this issue where This is very frustrating late. Please look into it.,Delivery Issue,Neutral,Low,App,2827,109,0
35,2024-05-03,There seems to be an issue because There is a problem support. Need help urgently.,Customer Service,Negative,Medium,App,15587,84,1
36,2024-12-11,"I had an experience where This is very frustrating not good please resolve quickly, and I am not satisfied.",Product Quality,Negative,Medium,Website,16208,70,1
37,2024-05-07,"I had an experience where Issue not resolved, and I am not satisfied.",Product Quality,Neutral,Low,Call,11911,63,1
38,2024-05-30,This is regarding a problem where There is a problem payment issue please resolve quickly. Kindly resolve soon.,Payment Problem,Neutral,Low,App,2302,100,0
39,2024-04-21,This is regarding a problem where Issue not resolved assistance. Kindly resolve soon.,Customer Service,Negative,Medium,App,17146,101,1
40,2024-09-10,I am facing this issue where Issue not resolved late please resolve quickly. Please look into it.,Delivery Issue,Negative,High,Email,46436,59,0
41,2024-08-20,"I had an experience where I am facing an issue money back, and I am not satisfied.",Refund Issue,Negative,High,Website,30355,20,1
42,2024-04-29,"I had an experience where Need help regarding this not good please resolve quickly, and I am not satisfied.",Product Quality,Neutral,Low,App,1654,65,1
43,2024-04-13,This is regarding a problem where Need help regarding this. Kindly resolve soon.,Delivery Issue,Negative,Medium,App,13374,47,1
44,2024-12-14,This is regarding a problem where I am facing an issue return. Kindly resolve soon.,Refund Issue,Negative,Medium,Website,3057,36,1
45,2024-06-17,I am facing this issue where There is a problem payment issue please resolve quickly. Please look into it.,Payment Problem,Negative,Medium,Call,12469,91,1
46,2024-05-14,"I had an experience where I am facing an issue return, and I am not satisfied.",Refund Issue,Neutral,Low,Email,23828,59,0
47,2024-01-22,I would like to report that Need help regarding this not good please resolve quickly. Please fix this.,Product Quality,Negative,High,Email,44564,70,0
48,2024-09-20,I am facing this issue where There is a problem. Please look into it.,Customer Service,Negative,High,App,47833,65,0
49,2024-11-12,I would like to report that Issue not resolved damaged. Please fix this.,Product Quality,Negative,High,Website,48904,39,0
50,2024-08-07,I am facing this issue where I am facing an issue please resolve quickly. Please look into it.,Product Quality,Negative,High,Website,44580,55,0
51,2024-02-06,"I had an experience where I am facing an issue no response, and I am not satisfied.",Customer Service,Positive,Low,Website,36712,116,1
52,2024-04-25,I would like to report that This is very frustrating login. Please fix this.,Account Issue,Negative,High,Email,45736,71,0
53,2024-05-07,This is regarding a problem where Not satisfied with the experience access please resolve quickly. Kindly resolve soon.,Account Issue,Negative,Medium,Call,6602,78,0
54,2024-06-22,This is regarding a problem where There is a problem deducted. Kindly resolve soon.,Payment Problem,Negative,High,App,23593,115,1
55,2024-09-29,I am facing this issue where I am facing an issue charged please resolve quickly. Please look into it.,Payment Problem,Negative,Medium,Website,11593,38,0
56,2024-06-18,This is regarding a problem where This is very frustrating waiting. Kindly resolve soon.,Delivery Issue,Negative,Medium,Website,13033,104,0
57,2024-11-08,I would like to report that Not satisfied with the experience payment issue. Please fix this.,Payment Problem,Neutral,Low,Email,30092,71,1
58,2024-05-21,There seems to be an issue because This is very frustrating. Need help urgently.,Refund Issue,Neutral,Low,App,2868,27,0
59,2024-08-02,I would like to report that Issue not resolved please resolve quickly. Please fix this.,Refund Issue,Neutral,Low,App,13903,43,0
60,2024-10-31,There seems to be an issue because There is a problem support. Need help urgently.,Customer Service,Negative,High,Website,23177,97,0
61,2024-09-20,I would like to report that Not satisfied with the experience money back. Please fix this.,Refund Issue,Negative,High,Website,30249,112,0
62,2024-09-18,"I had an experience where Issue not resolved access, and I am not satisfied.",Account Issue,Negative,High,Email,49247,79,1
63,2024-11-03,This is regarding a problem where I am facing an issue account error. Kindly resolve soon.,Account Issue,Negative,High,App,32593,66,0
64,2024-04-29,There seems to be an issue because I am facing an issue password. Need help urgently.,Account Issue,Positive,Low,Email,46685,28,0
65,2024-04-26,I am facing this issue where There is a problem not good. Please look into it.,Product Quality,Negative,High,App,47530,101,0
66,2024-02-27,I would like to report that I am facing an issue. Please fix this.,Customer Service,Neutral,Low,Website,24444,12,1
67,2024-03-29,I am facing this issue where This is very frustrating deducted. Please look into it.,Payment Problem,Negative,High,Website,46675,59,0
68,2024-03-09,There seems to be an issue because Need help regarding this access. Need help urgently.,Account Issue,Negative,Medium,App,3843,75,0
69,2024-03-26,This is regarding a problem where Not satisfied with the experience no response. Kindly resolve soon.,Customer Service,Neutral,Low,Email,8630,27,0
70,2024-08-25,I am facing this issue where This is very frustrating. Please look into it.,Delivery Issue,Negative,Medium,Website,9935,105,0
71,2024-12-06,I am facing this issue where There is a problem. Please look into it.,Customer Service,Neutral,Low,Website,30399,101,0
72,2024-09-02,This is regarding a problem where Need help regarding this refund pending. Kindly resolve soon.,Refund Issue,Negative,High,Call,37720,21,0
73,2024-04-05,This is regarding a problem where Issue not resolved. Kindly resolve soon.,Account Issue,Neutral,Low,Email,40658,30,0
74,2024-12-01,"I had an experience where There is a problem late, and I am not satisfied.",Delivery Issue,Negative,Medium,App,16864,35,0
75,2024-05-31,There seems to be an issue because Need help regarding this payment issue. Need help urgently.,Payment Problem,Negative,High,Website,25971,95,1
76,2024-06-27,There seems to be an issue because There is a problem money back. Need help urgently.,Refund Issue,Negative,High,Email,35695,72,0
77,2024-11-25,"I had an experience where I am facing an issue please resolve quickly, and I am not satisfied.",Product Quality,Positive,Low,Call,41270,51,1
78,2024-09-09,I am facing this issue where Issue not resolved. Please look into it.,Product Quality,Negative,High,App,43904,57,0
79,2024-04-02,I am facing this issue where I am facing an issue please resolve quickly. Please look into it.,Product Quality,Negative,High,Email,27850,19,0
80,2024-07-14,There seems to be an issue because I am facing an issue payment issue. Need help urgently.,Payment Problem,Negative,Medium,Email,11761,116,1
81,2024-08-04,"I had an experience where Need help regarding this charged, and I am not satisfied.",Payment Problem,Negative,High,Website,26592,47,1
82,2024-07-10,I would like to report that Not satisfied with the experience account error please resolve quickly. Please fix this.,Account Issue,Positive,Low,Website,44925,35,0
83,2024-04-05,This is regarding a problem where Not satisfied with the experience bad quality. Kindly resolve soon.,Product Quality,Positive,Low,App,20963,114,0
84,2024-10-05,There seems to be an issue because Issue not resolved. Need help urgently.,Customer Service,Negative,High,Call,45311,24,0
85,2024-08-04,I would like to report that Not satisfied with the experience waiting. Please fix this.,Delivery Issue,Negative,High,Website,46852,95,0
86,2024-08-20,This is regarding a problem where Need help regarding this assistance. Kindly resolve soon.,Customer Service,Negative,High,Website,40454,23,0
87,2024-02-21,I would like to report that This is very frustrating not good. Please fix this.,Product Quality,Negative,High,App,35770,106,1
88,2024-01-25,This is regarding a problem where Not satisfied with the experience not good. Kindly resolve soon.,Product Quality,Negative,Medium,Email,8835,110,0
89,2024-02-26,There seems to be an issue because Need help regarding this money back. Need help urgently.,Refund Issue,Negative,High,Website,40919,27,1
90,2024-05-01,I would like to report that Issue not resolved access please resolve quickly. Please fix this.,Account Issue,Positive,Low,Website,22189,106,0
91,2024-08-26,"I had an experience where Issue not resolved password please resolve quickly, and I am not satisfied.",Account Issue,Neutral,Low,App,9424,29,0
92,2024-01-07,This is regarding a problem where There is a problem. Kindly resolve soon.,Refund Issue,Negative,Medium,App,17837,113,1
93,2024-05-01,This is regarding a problem where Need help regarding this no response. Kindly resolve soon.,Customer Service,Neutral,Low,Call,39581,38,0
94,2024-12-07,"I had an experience where Need help regarding this transaction, and I am not satisfied.",Payment Problem,Negative,High,App,27462,76,0
95,2024-10-18,This is regarding a problem where I am facing an issue money back please resolve quickly. Kindly resolve soon.,Refund Issue,Negative,High,Call,40762,15,1
96,2024-06-15,I am facing this issue where I am facing an issue support. Please look into it.,Customer Service,Neutral,Low,Call,35078,65,1
97,2024-06-21,I am facing this issue where Issue not resolved bad quality. Please look into it.,Product Quality,Negative,High,Call,28678,78,0
98,2024-11-12,I would like to report that This is very frustrating. Please fix this.,Account Issue,Negative,Medium,Call,4209,103,0
99,2024-07-09,There seems to be an issue because This is very frustrating delay. Need help urgently.,Delivery Issue,Neutral,Low,Call,39798,73,0
100,2024-02-27,This is regarding a problem where Need help regarding this money back. Kindly resolve soon.,Refund Issue,Negative,High,Email,34091,17,0
101,2024-03-20,I am facing this issue where This is very frustrating money back please resolve quickly. Please look into it.,Refund Issue,Positive,Low,App,23200,32,0
102,2024-05-26,This is regarding a problem where Issue not resolved help. Kindly resolve soon.,Customer Service,Positive,Low,App,11503,110,0
103,2024-05-22,I would like to report that There is a problem not credited. Please fix this.,Refund Issue,Negative,Medium,Website,6690,25,1
104,2024-01-12,I am facing this issue where I am facing an issue waiting. Please look into it.,Delivery Issue,Negative,High,Call,41321,98,0
105,2024-06-04,There seems to be an issue because I am facing an issue payment issue. Need help urgently.,Payment Problem,Positive,Low,App,21947,35,0
106,2024-07-04,This is regarding a problem where This is very frustrating login. Kindly resolve soon.,Account Issue,Negative,High,Email,46927,19,1
107,2024-07-10,There seems to be an issue because Need help regarding this. Need help urgently.,Refund Issue,Negative,High,Call,27855,111,0
108,2024-08-07,I am facing this issue where This is very frustrating broken. Please look into it.,Product Quality,Negative,High,Email,40580,95,0
109,2024-10-29,There seems to be an issue because Need help regarding this account error. Need help urgently.,Account Issue,Negative,High,Call,45945,80,1
110,2024-04-28,I would like to report that Issue not resolved not arrived. Please fix this.,Delivery Issue,Negative,Medium,App,19755,16,1
111,2024-09-23,This is regarding a problem where Need help regarding this late please resolve quickly. Kindly resolve soon.,Delivery Issue,Neutral,Low,Call,35461,60,1
112,2024-04-07,"I had an experience where There is a problem please resolve quickly, and I am not satisfied.",Account Issue,Neutral,Low,Email,20809,60,1
113,2024-01-06,I am facing this issue where Need help regarding this not arrived. Please look into it.,Delivery Issue,Negative,Medium,Call,884,66,0
114,2024-01-23,This is regarding a problem where Not satisfied with the experience not credited please resolve quickly. Kindly resolve soon.,Refund Issue,Neutral,Low,App,33106,14,1
115,2024-03-25,I would like to report that Need help regarding this login. Please fix this.,Account Issue,Neutral,Low,Email,5309,28,1
116,2024-09-16,I would like to report that There is a problem support. Please fix this.,Customer Service,Negative,High,Website,35316,88,1
117,2024-04-04,There seems to be an issue because There is a problem. Need help urgently.,Customer Service,Neutral,Low,Website,46043,103,1
118,2024-09-24,I am facing this issue where There is a problem charged. Please look into it.,Payment Problem,Negative,High,Website,43625,61,1
119,2024-04-21,There seems to be an issue because Need help regarding this waiting please resolve quickly. Need help urgently.,Delivery Issue,Negative,High,App,41848,68,0
120,2024-07-10,There seems to be an issue because There is a problem please resolve quickly. Need help urgently.,Account Issue,Negative,High,App,37941,114,1
121,2024-11-30,I am facing this issue where Not satisfied with the experience not credited. Please look into it.,Refund Issue,Positive,Low,Website,42789,41,0
122,2024-11-30,"I had an experience where I am facing an issue broken please resolve quickly, and I am not satisfied.",Product Quality,Negative,Medium,Email,10709,49,0
123,2024-05-17,"I had an experience where Issue not resolved return, and I am not satisfied.",Refund Issue,Negative,High,App,43588,15,1
124,2024-02-03,"I had an experience where Not satisfied with the experience waiting please resolve quickly, and I am not satisfied.",Delivery Issue,Negative,High,Email,20463,80,0
125,2024-08-27,"I had an experience where I am facing an issue, and I am not satisfied.",Customer Service,Negative,Medium,App,4800,54,0
126,2024-04-04,"I had an experience where Need help regarding this, and I am not satisfied.",Product Quality,Negative,Medium,Call,17644,91,0
127,2024-07-02,I am facing this issue where Issue not resolved broken. Please look into it.,Product Quality,Negative,High,Email,24571,15,0
128,2024-03-01,"I had an experience where This is very frustrating, and I am not satisfied.",Delivery Issue,Neutral,Low,Call,36534,43,0
129,2024-11-12,There seems to be an issue because Need help regarding this deducted. Need help urgently.,Payment Problem,Negative,High,Website,22008,53,0
130,2024-02-03,I am facing this issue where I am facing an issue assistance please resolve quickly. Please look into it.,Customer Service,Negative,High,Call,39644,57,0
131,2024-09-05,There seems to be an issue because This is very frustrating not arrived. Need help urgently.,Delivery Issue,Negative,High,Call,47392,37,0
132,2024-12-02,I am facing this issue where Not satisfied with the experience delay. Please look into it.,Delivery Issue,Negative,High,Email,45662,72,1
133,2024-10-29,"I had an experience where Not satisfied with the experience deducted, and I am not satisfied.",Payment Problem,Neutral,Low,Website,14678,90,0
134,2024-12-30,There seems to be an issue because I am facing an issue assistance. Need help urgently.,Customer Service,Negative,High,Website,29199,99,0
135,2024-04-20,"I had an experience where Issue not resolved payment issue, and I am not satisfied.",Payment Problem,Negative,High,App,46891,14,0
136,2024-08-14,I am facing this issue where I am facing an issue assistance. Please look into it.,Customer Service,Neutral,Low,Email,2031,49,0
137,2024-07-20,There seems to be an issue because Issue not resolved not good. Need help urgently.,Product Quality,Negative,Medium,Email,8652,39,1
138,2024-01-25,I would like to report that Need help regarding this. Please fix this.,Delivery Issue,Neutral,Low,Email,6729,55,0
139,2024-08-20,This is regarding a problem where Issue not resolved waiting please resolve quickly. Kindly resolve soon.,Delivery Issue,Negative,Medium,App,6668,78,1
140,2024-04-20,I would like to report that Issue not resolved login. Please fix this.,Account Issue,Negative,Medium,Website,6871,45,0
141,2024-06-28,There seems to be an issue because There is a problem not arrived please resolve quickly. Need help urgently.,Delivery Issue,Negative,Medium,Email,16413,17,0
142,2024-08-16,There seems to be an issue because I am facing an issue please resolve quickly. Need help urgently.,Payment Problem,Negative,Medium,Email,10667,81,0
143,2024-04-21,I am facing this issue where There is a problem delay please resolve quickly. Please look into it.,Delivery Issue,Negative,High,App,27785,81,0
144,2024-05-16,I am facing this issue where This is very frustrating money back. Please look into it.,Refund Issue,Neutral,Low,Call,11089,66,0
145,2024-01-06,There seems to be an issue because I am facing an issue. Need help urgently.,Product Quality,Negative,Medium,Call,4824,106,1
146,2024-04-27,This is regarding a problem where Need help regarding this transaction. Kindly resolve soon.,Payment Problem,Negative,High,Email,29246,17,1
147,2024-07-12,There seems to be an issue because Need help regarding this late. Need help urgently.,Delivery Issue,Negative,High,App,47577,68,1
148,2024-11-21,This is regarding a problem where This is very frustrating damaged please resolve quickly. Kindly resolve soon.,Product Quality,Negative,High,Email,47014,16,1
149,2024-04-22,"I had an experience where I am facing an issue please resolve quickly, and I am not satisfied.",Payment Problem,Negative,High,Call,26886,31,0
150,2024-10-19,There seems to be an issue because This is very frustrating money back. Need help urgently.,Refund Issue,Negative,High,Call,39501,49,1
151,2024-06-26,I am facing this issue where Need help regarding this please resolve quickly. Please look into it.,Customer Service,Negative,High,Call,40256,44,0
152,2024-06-16,I am facing this issue where Not satisfied with the experience charged. Please look into it.,Payment Problem,Negative,Medium,App,10365,24,1
153,2024-09-21,This is regarding a problem where There is a problem deducted. Kindly resolve soon.,Payment Problem,Negative,Medium,Website,1842,28,1
154,2024-04-04,I am facing this issue where There is a problem damaged please resolve quickly. Please look into it.,Product Quality,Negative,High,Call,32793,105,0
155,2024-05-16,I would like to report that Need help regarding this not arrived please resolve quickly. Please fix this.,Delivery Issue,Neutral,Low,Website,12719,89,1
156,2024-11-15,There seems to be an issue because Not satisfied with the experience payment issue please resolve quickly. Need help urgently.,Payment Problem,Negative,Medium,Website,5915,71,1
157,2024-10-12,"I had an experience where Not satisfied with the experience password, and I am not satisfied.",Account Issue,Negative,High,Website,42332,71,1
158,2024-03-02,There seems to be an issue because Issue not resolved bad quality. Need help urgently.,Product Quality,Negative,Medium,App,19782,37,1
159,2024-11-23,There seems to be an issue because I am facing an issue refund pending. Need help urgently.,Refund Issue,Negative,Medium,Email,17949,51,0
160,2024-03-03,I would like to report that Need help regarding this help. Please fix this.,Customer Service,Neutral,Low,Email,8304,34,0
161,2024-11-04,I would like to report that This is very frustrating not arrived please resolve quickly. Please fix this.,Delivery Issue,Negative,High,App,34516,77,0
162,2024-06-27,There seems to be an issue because Need help regarding this bad quality please resolve quickly. Need help urgently.,Product Quality,Negative,High,Website,41657,18,1
163,2024-08-18,"I had an experience where Issue not resolved, and I am not satisfied.",Payment Problem,Negative,Medium,App,15874,44,1
164,2024-10-15,This is regarding a problem where Issue not resolved. Kindly resolve soon.,Product Quality,Neutral,Low,Website,11289,112,1
165,2024-12-18,This is regarding a problem where Need help regarding this assistance. Kindly resolve soon.,Customer Service,Negative,High,Website,32765,85,0
166,2024-07-02,"I had an experience where This is very frustrating assistance, and I am not satisfied.",Customer Service,Neutral,Low,Call,24210,99,0
167,2024-05-09,This is regarding a problem where Not satisfied with the experience access. Kindly resolve soon.,Account Issue,Negative,Medium,Website,14882,56,0
168,2024-10-25,"I had an experience where Not satisfied with the experience not good please resolve quickly, and I am not satisfied.",Product Quality,Negative,High,Call,40166,37,0
169,2024-02-07,This is regarding a problem where This is very frustrating damaged. Kindly resolve soon.,Product Quality,Negative,Medium,Email,12798,115,1
170,2024-08-05,"I had an experience where I am facing an issue, and I am not satisfied.",Customer Service,Negative,Medium,App,1314,118,0
171,2024-11-11,This is regarding a problem where Issue not resolved. Kindly resolve soon.,Account Issue,Negative,High,App,44741,115,1
172,2024-10-19,"I had an experience where There is a problem not good, and I am not satisfied.",Product Quality,Positive,Low,App,37719,16,1
173,2024-01-29,I would like to report that There is a problem transaction. Please fix this.,Payment Problem,Neutral,Low,Call,44909,62,0
174,2024-10-28,There seems to be an issue because Issue not resolved support. Need help urgently.,Customer Service,Positive,Low,Website,4297,12,1
175,2024-11-08,There seems to be an issue because Issue not resolved login. Need help urgently.,Account Issue,Positive,Low,App,2145,98,0
176,2024-05-28,I would like to report that There is a problem. Please fix this.,Delivery Issue,Neutral,Low,Call,37930,26,0
177,2024-10-17,There seems to be an issue because I am facing an issue delay. Need help urgently.,Delivery Issue,Neutral,Low,Email,39724,52,0
178,2024-07-28,I would like to report that This is very frustrating not credited. Please fix this.,Refund Issue,Negative,High,Call,43582,18,1
179,2024-12-29,I am facing this issue where There is a problem broken. Please look into it.,Product Quality,Neutral,Low,Website,36868,70,0
180,2024-07-16,I am facing this issue where I am facing an issue not good. Please look into it.,Product Quality,Negative,High,Email,46219,63,0
181,2024-06-02,I would like to report that I am facing an issue access. Please fix this.,Account Issue,Positive,Low,Call,37648,33,0
182,2024-12-26,There seems to be an issue because There is a problem not credited. Need help urgently.,Refund Issue,Negative,High,Call,28196,95,0
183,2024-12-25,"I had an experience where Need help regarding this, and I am not satisfied.",Delivery Issue,Negative,High,Website,25417,72,0
184,2024-07-29,I am facing this issue where This is very frustrating not arrived please resolve quickly. Please look into it.,Delivery Issue,Negative,Medium,Call,2259,98,0
185,2024-05-23,I would like to report that Issue not resolved. Please fix this.,Customer Service,Negative,High,Website,28452,41,0
186,2024-04-22,I am facing this issue where Need help regarding this please resolve quickly. Please look into it.,Product Quality,Negative,High,Email,38758,77,0
187,2024-09-20,There seems to be an issue because I am facing an issue. Need help urgently.,Payment Problem,Negative,High,Call,26022,12,0
188,2024-06-10,There seems to be an issue because I am facing an issue account error. Need help urgently.,Account Issue,Negative,High,Website,49270,85,0
189,2024-12-14,There seems to be an issue because I am facing an issue refund pending. Need help urgently.,Refund Issue,Neutral,Low,Call,16938,61,0
190,2024-02-23,I would like to report that Issue not resolved waiting. Please fix this.,Delivery Issue,Negative,High,Call,47563,83,0
191,2024-09-20,"I had an experience where Not satisfied with the experience not arrived, and I am not satisfied.",Delivery Issue,Neutral,Low,App,7222,103,1
192,2024-06-13,I am facing this issue where This is very frustrating deducted. Please look into it.,Payment Problem,Neutral,Low,App,22091,57,1
193,2024-01-07,This is regarding a problem where Need help regarding this. Kindly resolve soon.,Customer Service,Negative,High,App,48338,93,0
194,2024-02-05,This is regarding a problem where Need help regarding this deducted. Kindly resolve soon.,Payment Problem,Negative,Medium,App,2698,30,1
195,2024-01-11,This is regarding a problem where Not satisfied with the experience access. Kindly resolve soon.,Account Issue,Negative,Medium,Call,9205,80,1
196,2024-01-20,"I had an experience where There is a problem payment issue, and I am not satisfied.",Payment Problem,Neutral,Low,Website,29878,23,0
197,2024-02-22,"I had an experience where There is a problem account error, and I am not satisfied.",Account Issue,Negative,Medium,Website,1779,109,0
198,2024-07-20,This is regarding a problem where Need help regarding this please resolve quickly. Kindly resolve soon.,Refund Issue,Negative,High,Call,44361,92,1
199,2024-07-27,I would like to report that Issue not resolved help. Please fix this.,Customer Service,Negative,High,Call,25057,107,0
200,2024-08-24,"I had an experience where Not satisfied with the experience transaction please resolve quickly, and I am not satisfied.",Payment Problem,Negative,Medium,Email,3073,77,1
201,2024-06-02,This is regarding a problem where This is very frustrating not arrived. Kindly resolve soon.,Delivery Issue,Negative,Medium,Call,18185,15,1
202,2024-05-07,This is regarding a problem where Not satisfied with the experience payment issue. Kindly resolve soon.,Payment Problem,Positive,Low,App,9496,29,0
203,2024-06-01,This is regarding a problem where There is a problem access. Kindly resolve soon.,Account Issue,Neutral,Low,Email,32153,48,0
204,2024-01-27,I am facing this issue where I am facing an issue. Please look into it.,Customer Service,Neutral,Low,Email,2122,97,0
205,2024-08-24,This is regarding a problem where I am facing an issue late. Kindly resolve soon.,Delivery Issue,Negative,High,Call,29902,23,0
206,2024-07-08,I would like to report that Not satisfied with the experience delay. Please fix this.,Delivery Issue,Negative,High,Email,28029,37,1
207,2024-07-11,I am facing this issue where There is a problem deducted. Please look into it.,Payment Problem,Negative,High,Website,21109,118,0
208,2024-09-23,I would like to report that Issue not resolved damaged. Please fix this.,Product Quality,Negative,High,Call,22374,32,0
209,2024-08-14,I would like to report that I am facing an issue broken please resolve quickly. Please fix this.,Product Quality,Negative,High,Email,26212,115,1
210,2024-03-09,I would like to report that Not satisfied with the experience no response please resolve quickly. Please fix this.,Customer Service,Negative,High,Email,23650,33,1
211,2024-08-31,I am facing this issue where This is very frustrating waiting. Please look into it.,Delivery Issue,Negative,Medium,Email,9442,110,0
212,2024-07-19,This is regarding a problem where Need help regarding this please resolve quickly. Kindly resolve soon.,Product Quality,Neutral,Low,Email,24558,109,0
213,2024-05-08,I would like to report that I am facing an issue charged please resolve quickly. Please fix this.,Payment Problem,Negative,High,Website,35388,28,0
214,2024-10-17,"I had an experience where Issue not resolved not arrived, and I am not satisfied.",Delivery Issue,Neutral,Low,Email,18523,50,0
215,2024-04-11,This is regarding a problem where I am facing an issue damaged please resolve quickly. Kindly resolve soon.,Product Quality,Negative,High,App,21087,105,1
216,2024-01-17,"I had an experience where Need help regarding this deducted, and I am not satisfied.",Payment Problem,Negative,High,Email,26712,60,0
217,2024-12-04,"I had an experience where I am facing an issue payment issue please resolve quickly, and I am not satisfied.",Payment Problem,Negative,High,Email,20991,99,0
218,2024-01-25,I am facing this issue where This is very frustrating login. Please look into it.,Account Issue,Neutral,Low,Call,2921,83,1
219,2024-12-30,I am facing this issue where Issue not resolved payment issue please resolve quickly. Please look into it.,Payment Problem,Negative,Medium,App,12418,116,1
220,2024-10-08,There seems to be an issue because I am facing an issue payment issue please resolve quickly. Need help urgently.,Payment Problem,Negative,High,Website,38141,28,0
221,2024-05-16,I am facing this issue where This is very frustrating account error. Please look into it.,Account Issue,Negative,Medium,Call,17274,18,0
222,2024-03-22,There seems to be an issue because This is very frustrating broken. Need help urgently.,Product Quality,Positive,Low,App,18405,104,0
223,2024-04-12,There seems to be an issue because Need help regarding this help please resolve quickly. Need help urgently.,Customer Service,Negative,Medium,Email,19926,117,0
224,2024-05-10,"I had an experience where There is a problem delay, and I am not satisfied.",Delivery Issue,Negative,High,App,35935,109,0
225,2024-02-08,There seems to be an issue because Issue not resolved access please resolve quickly. Need help urgently.,Account Issue,Negative,High,Email,32205,119,1
226,2024-06-09,I am facing this issue where There is a problem. Please look into it.,Delivery Issue,Negative,Medium,Call,15817,93,0
227,2024-06-18,There seems to be an issue because I am facing an issue login please resolve quickly. Need help urgently.,Account Issue,Negative,Medium,Email,15729,110,0
